Time_history,T_grav_1,T_grav_2,T_grav_3,F_grav_1,F_grav_2,F_grav_3,Euler_history_1,Euler_history_2,Euler_history_3
0,-0,-0,0,-0.0199611141891944,-0,-0,0,0,0
4.610415902042e-08,-5.22395209358765e-29,-3.96574862148185e-18,5.38208740643072e-18,-0.0199611141891944,-7.36235603974359e-13,-2.20870681192308e-12,-2.81957980154101e-21,-5.58646659652924e-18,8.89944161254218e-18
1.3831247706126e-07,-4.70155681977297e-28,-1.18972458015443e-17,1.61462620833012e-17,-0.0199611141891944,-2.20870681192308e-12,-6.62612043576923e-12,-2.53762182138691e-20,-5.02781993688035e-17,8.00949745129502e-17
3.2272911314294e-07,-2.55973642057996e-27,-2.77602399100645e-17,3.76746108930782e-17,-0.0199611141891944,-5.15364922782051e-12,-1.54609476834615e-11,-1.38159410275511e-19,-2.73736863230463e-16,4.36072639015495e-16
6.915623853063e-07,-1.17538910825938e-26,-5.94862271206855e-17,8.07313063367766e-17,-0.0199611141891944,-1.10435340596154e-11,-3.31306021788461e-11,-6.34405455346764e-19,-1.25695498422431e-15,2.00237436283115e-15
1.42922892963302e-06,-5.02021692956893e-26,-1.2293819751625e-16,1.66844688520751e-16,-0.0199611141891944,-2.28233037232051e-11,-6.84699111696153e-11,-2.70961618928157e-18,-5.36859439931078e-15,8.5523633897339e-15
2.90456201828646e-06,-2.07338570476826e-25,-2.49842122204671e-16,3.3907141807501e-16,-0.0199611141891944,-4.63828430503845e-11,-1.39148529151154e-10,-1.11909122323276e-17,-2.21726859220121e-14,3.53218837608586e-14
5.85522819559334e-06,-8.42570505448322e-25,-5.03649907170678e-16,6.83524737928768e-16,-0.0199611141891944,-9.35019217047432e-11,-2.8050576511423e-10,-4.54770026192438e-17,-9.01041197385948e-14,1.43539093774253e-13
1.17565605502071e-05,-3.39686893454449e-24,-1.01126521945935e-15,1.37243082061725e-15,-0.0199611141891944,-1.8774007901346e-10,-5.63220237040381e-10,-1.83343176598308e-16,-3.63259990465012e-13,5.78686190900561e-13
2.35592252594346e-05,-1.36407882590922e-23,-2.02649481346333e-15,2.75024075791805e-15,-0.0199611141891944,-3.76216393630891e-10,-1.12864918089268e-09,-7.36251497407628e-16,-1.45874374435908e-12,2.32383109367074e-12
4.71645546778896e-05,-5.46697906117467e-23,-4.05694987917782e-15,5.50585172021505e-15,-0.0199611141891942,-7.53169022865741e-10,-2.25950706859725e-09,-2.95077203091964e-15,-5.84639930245831e-12,9.31352373423783e-12
9.43752135147997e-05,-2.1889144083954e-22,-8.11784352143293e-15,1.10170379955905e-14,-0.0199611141891937,-1.50707428133538e-09,-4.52122284400627e-09,-1.18146286733371e-14,-2.34084626242695e-11,3.72905203631292e-11
0.00018879653118862,-8.75981249101385e-22,-1.62395648492474e-14,2.20392679494672e-14,-0.0199611141891917,-3.01488479827428e-09,-9.04465439482374e-09,-4.72816043849214e-14,-9.36795981252863e-11,1.49234959073135e-10
0.00037763916653626,-3.50468230338616e-21,-3.24827436780915e-14,4.40831574697198e-14,-0.0199611141891835,-6.03050583214961e-09,-1.80915174964552e-08,-1.89172607518224e-13,-3.74809904836458e-10,5.9708561879161e-10
0.000755324437231541,-1.40196534281759e-20,-6.49680460286265e-14,8.81686549601985e-14,-0.0199611141891507,-1.20617478998827e-08,-3.61852436996959e-08,-7.56782852680909e-13,-1.49942266333173e-09,2.38863407133855e-09
0.0015106949786221,-5.60757380702413e-20,-1.29934429500969e-13,1.76330523740854e-13,-0.0199611141890196,-2.41242320352173e-08,-7.23726961060183e-08,-3.02731681149732e-12,-5.99805677850329e-09,9.55511954019516e-09
0.00302143606140322,-2.24259410844343e-19,-2.59850311529832e-13,3.526177564994e-13,-0.0199611141884953,-4.82492003048665e-08,-1.44747600917475e-07,-1.21096468099016e-11,-2.39929595446602e-08,3.82216449834432e-08
0.00604291822696547,-8.96648294499593e-19,-5.19614535916979e-13,7.05046202792968e-13,-0.019961114186398,-9.64991368361442e-08,-2.89497410531208e-07,-4.84394864404552e-11,-9.59733043645549e-08,1.52888915894386e-07
0.01208588255809,-3.58339725200738e-18,-1.03887282595076e-12,1.40931901838657e-12,-0.0199611141780088,-1.92999009835081e-07,-5.78997029686533e-07,-1.93761985222813e-10,-3.83896160302922e-07,6.11560353807386e-07
0.0241718112203389,-1.43078737434511e-17,-2.07630877059227e-12,2.81552834080767e-12,-0.0199611141444517,-3.85998755326203e-07,-1.15799626742526e-06,-7.75091876779604e-10,-1.53559061045876e-06,2.44625094154298e-06
0.0483436685448369,-5.70257077735101e-17,-4.1468581144862e-12,5.6186017443076e-12,-0.0199611140102234,-7.71998242263202e-07,-2.31599473834821e-06,-3.10102909145581e-09,-6.14237504694642e-06,9.78502397859659e-06
0.0966873831938328,-2.26460093433566e-16,-8.27066659166677e-12,1.1187367536635e-11,-0.0199611134733099,-1.54399718381033e-06,-4.63199164384135e-06,-1.2414618947511e-08,-2.45695307032496e-05,3.91401455081358e-05
0.193374812491825,-8.92764634685067e-16,-1.64491224779681e-11,2.21753746826988e-11,-0.019961111325655,-3.08799480843003e-06,-9.26398516433901e-06,-4.98263517323535e-08,-9.82782258460639e-05,0.000156560752829836
0.386749671087808,-3.46752964668598e-15,-3.25293882792513e-11,4.3553288407819e-11,-0.0199611027350353,-6.17598799043472e-06,-1.85279698827592e-05,-2.01991094819964e-07,-0.000393113438480042,0.000626243898173799
0.773499388279776,-1.30591571748407e-14,-6.35833240218438e-11,8.39166945310407e-11,-0.019961068372571,-1.23519578188187e-05,-3.70559207443393e-05,-8.50934818629412e-07,-0.00157245734585604,0.00250498129439896
1.54699882266371,-4.60253433499238e-14,-1.21264739747384e-10,1.55073718476606e-10,-0.0199609309229871,-2.47037651997648e-05,-7.41116738869556e-05,-4.09126711296072e-06,-0.00628985500134549,0.0100199613151945
2.54699882266371,-1.04473531503707e-13,-1.87089294679971e-10,2.281559040787e-10,-0.0199606174158244,-4.06720300960095e-05,-0.000122017778513949,-1.53409360720054e-05,-0.0170498334993742,0.0271609494630081
3.54699882266371,-1.66508119375892e-13,-2.43047612937681e-10,2.7990908620449e-10,-0.0199601507584188,-5.66394630428636e-05,-0.000169922948687502,-4.20240881890124e-05,-0.0330671947050614,0.052676654113788
4.54699882266371,-2.19617440168594e-13,-2.89140254572618e-10,3.10334406995616e-10,-0.0199595309558307,-7.26057374232318e-05,-0.000217826817556482,-9.58472884041028e-05,-0.0543417091994373,0.086566730184439
5.54699882266371,-2.54378852244888e-13,-3.25367001390345e-10,3.19431852589129e-10,-0.0199587580147812,-8.85705266339282e-05,-0.000265729018283843,-0.000192358152430685,-0.0808735627132066,0.128831296105796
6.54699882266371,-2.64460518118739e-13,-3.51728004758743e-10,3.07202055960389e-10,-0.0199578319436516,-0.000104533504089601,-0.000313629184050606,-0.000350946877606504,-0.112662702682279,0.179470205250405
7.54699882266371,-2.46620869508863e-13,-3.68223383507864e-10,2.73645714089196e-10,-0.0199567527524838,-0.000120494343226644,-0.000361526948059802,-0.000594844625402443,-0.149709015067432,0.238483273309885
8.54699882266371,-2.00708295278269e-13,-3.74853099186552e-10,2.1876346424824e-10,-0.0199555204529796,-0.000136452717507125,-0.00040942194354047,-0.00095112384978022,-0.192012357723742,0.305870344588239
9.54699882266371,-1.29661207160927e-13,-3.71617012401937e-10,1.42556072834028e-10,-0.0199541350585011,-0.000152408300422704,-0.000457313803751618,-0.00145069765243609,-0.239572501615233,0.381631254765213
10,-9.07133915691001e-14,-3.66904101995089e-10,1.0101606218262e-10,-0.0199534570927359,-0.000159635191759339,-0.000479007742295478,-0.00173337500587831,-0.26284726255433,0.418706872811196
